"Book","name","author","genre","language"
"http://dbpedia.org/resource/Pyongyang_(comics)","Pyongyang","http://dbpedia.org/resource/Guy_Delisle","http://dbpedia.org/resource/Graphic_novel","English"
"http://dbpedia.org/resource/Pyongyang_(comics)","Pyongyang","http://dbpedia.org/resource/Guy_Delisle","http://dbpedia.org/resource/Memoir","English"
"http://dbpedia.org/resource/Red_Lights_(novel)","Red Lights","http://dbpedia.org/resource/Georges_Simenon","http://dbpedia.org/resource/Psychological_novel","http://dbpedia.org/resource/French_language"
"http://dbpedia.org/resource/Red_Lights_(novel)","Feux rouges","http://dbpedia.org/resource/Georges_Simenon","http://dbpedia.org/resource/Psychological_novel","http://dbpedia.org/resource/French_language"
"http://dbpedia.org/resource/12th_of_Never_(novel)","12th of Never","http://dbpedia.org/resource/James_Patterson","http://dbpedia.org/resource/Thriller_(genre)","http://dbpedia.org/resource/American_English"
"http://dbpedia.org/resource/12th_of_Never_(novel)","12th of Never","http://dbpedia.org/resource/Maxine_Paetro","http://dbpedia.org/resource/Thriller_(genre)","http://dbpedia.org/resource/American_English"
"http://dbpedia.org/resource/A_Glimpse_of_Tiger","A Glimpse of Tiger","http://dbpedia.org/resource/Herman_Raucher","http://dbpedia.org/resource/Novel","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/A_Glimpse_of_Tiger","A Glimpse of Tiger","http://dbpedia.org/resource/Herman_Raucher","http://dbpedia.org/resource/Novel","English"
"http://dbpedia.org/resource/A_Matter_of_Honour","A Matter of Honour","http://dbpedia.org/resource/Jeffrey_Archer","http://dbpedia.org/resource/Spy_fiction","English"
"http://dbpedia.org/resource/A_Matter_of_Honour","A Matter of Honour","http://dbpedia.org/resource/Jeffrey_Archer","http://dbpedia.org/resource/Thriller_(genre)","English"
"http://dbpedia.org/resource/A_Passionate_Pilgrim","A Passionate Pilgrim","http://dbpedia.org/resource/Henry_James","http://dbpedia.org/resource/Novella","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/A_Treatise_on_Money","A Treatise on Money","http://dbpedia.org/resource/John_Maynard_Keynes","http://dbpedia.org/resource/Non-fiction","English"
"http://dbpedia.org/resource/About_Us_(novel)","About Us","http://dbpedia.org/resource/Chester_Aaron","http://dbpedia.org/resource/Novel","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Accident_(novel)","Accident","http://dbpedia.org/resource/Danielle_Steel","http://dbpedia.org/resource/Romance_novel","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Across_the_Universe_(Star_Trek)","Across the Universe","http://dbpedia.org/resource/George_Zebrowski","http://dbpedia.org/resource/List_of_science_fiction_novels","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Across_the_Universe_(Star_Trek)","Across the Universe","http://dbpedia.org/resource/Pamela_Sargent","http://dbpedia.org/resource/List_of_science_fiction_novels","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Across_the_Universe_(novel)","Across the Universe","http://dbpedia.org/resource/Beth_Revis","http://dbpedia.org/resource/Utopian_and_dystopian_fiction","English"
"http://dbpedia.org/resource/Across_the_Universe_(novel)","Across the Universe","http://dbpedia.org/resource/Beth_Revis","http://dbpedia.org/resource/Science_fiction","English"
"http://dbpedia.org/resource/Across_the_Universe_(novel)","Across the Universe","http://dbpedia.org/resource/Beth_Revis","http://dbpedia.org/resource/Crime_fiction","English"
"http://dbpedia.org/resource/Across_the_Universe_(novel)","Across the Universe","http://dbpedia.org/resource/Beth_Revis","http://dbpedia.org/resource/Young-adult_fiction","English"
"http://dbpedia.org/resource/After_the_Ball_(play)","After the Ball","http://dbpedia.org/resource/David_Williamson","http://dbpedia.org/resource/Play_(theatre)","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Agent_13:_The_Invisible_Empire","The Invisible Empire","http://dbpedia.org/resource/Flint_Dille","http://dbpedia.org/resource/Children's_literature","English"
"http://dbpedia.org/resource/Agent_13:_The_Invisible_Empire","The Invisible Empire","http://dbpedia.org/resource/David_Marconi","http://dbpedia.org/resource/Children's_literature","English"
"http://dbpedia.org/resource/Airman_(novel)","Airman","http://dbpedia.org/resource/Eoin_Colfer","http://dbpedia.org/resource/Historical_fiction","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Airman_(novel)","Airman","http://dbpedia.org/resource/Eoin_Colfer","http://dbpedia.org/resource/Fantasy","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/All_the_King's_Men","All the King's Men","http://dbpedia.org/resource/Robert_Penn_Warren","http://dbpedia.org/resource/Political_fiction","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/All_the_Rage_(novel)","All The Rage","http://dbpedia.org/resource/F._Paul_Wilson","http://dbpedia.org/resource/Fiction","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Brendan_Hay","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Brendan_Hay","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Brendan_Hay","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Steve_Bodow","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Steve_Bodow","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Steve_Bodow","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/David_Javerbaum","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/David_Javerbaum","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/David_Javerbaum","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Stephen_Colbert","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Stephen_Colbert","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Stephen_Colbert","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Eric_Drysdale","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Eric_Drysdale","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Eric_Drysdale","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Jon_Stewart","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Jon_Stewart","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Jon_Stewart","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Ben_Karlin","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Ben_Karlin","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Ben_Karlin","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Rich_Blomquist","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Rich_Blomquist","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Rich_Blomquist","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Rob_Corddry","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Rob_Corddry","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Rob_Corddry","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Chris_Regan","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Chris_Regan","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Chris_Regan","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Samantha_Bee","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Samantha_Bee","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Samantha_Bee","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Ed_Helms","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Ed_Helms","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Ed_Helms","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (The Book)","http://dbpedia.org/resource/Tim_Carvell","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","(A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Tim_Carvell","Humor","English"
"http://dbpedia.org/resource/America_(The_Book)","America (the Book) Teacher's Edition: (A Citizen's Guide to Democracy Inaction)","http://dbpedia.org/resource/Tim_Carvell","Humor","English"
"http://dbpedia.org/resource/America_(novel)","America","http://dbpedia.org/resource/E.R._Frank","http://dbpedia.org/resource/Young-adult_fiction","English"
"http://dbpedia.org/resource/An_American_Life","An American Life","http://dbpedia.org/resource/Ronald_Reagan","http://dbpedia.org/resource/Memoir","English"
"http://dbpedia.org/resource/And_Then_You_Die","And Then You Die","http://dbpedia.org/resource/Michael_Dibdin","http://dbpedia.org/resource/Crime_fiction","English"
"http://dbpedia.org/resource/And_Then_You_Die","And Then You Die","http://dbpedia.org/resource/Michael_Dibdin","http://dbpedia.org/resource/Mystery_fiction","English"
"http://dbpedia.org/resource/Anywhere_But_Here_(novel)","Anywhere But Here","http://dbpedia.org/resource/Mona_Simpson","http://dbpedia.org/resource/Biography_in_literature","English"
"http://dbpedia.org/resource/Arabella_(novel)","Arabella","http://dbpedia.org/resource/Georgette_Heyer","http://dbpedia.org/resource/Regency_era","English"
"http://dbpedia.org/resource/Arabella_(novel)","Arabella","http://dbpedia.org/resource/Georgette_Heyer","http://dbpedia.org/resource/Romance_novel","English"
"http://dbpedia.org/resource/Averno_(poetry)","Averno","http://dbpedia.org/resource/Louise_Gl%C3%BCck","http://dbpedia.org/resource/Poetry","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Avoidance_(novel)","Avoidance","http://dbpedia.org/resource/Michael_Lowenthal","Novel","English"
"http://dbpedia.org/resource/Awful_End","Awful End","http://dbpedia.org/resource/Philip_Ardagh","comedy","English"
"http://dbpedia.org/resource/Barsa_(novel)","Barsa","http://dbpedia.org/resource/Khadija_Mumtaz","Novel","http://dbpedia.org/resource/Malayalam"
"http://dbpedia.org/resource/Beau_Brocade","Beau Brocade","http://dbpedia.org/resource/Emma_Orczy","http://dbpedia.org/resource/Historical_novel","English"
"http://dbpedia.org/resource/Best_Kept_Secret_(novel)","Best Kept Secret","http://dbpedia.org/resource/Jeffrey_Archer","Fiction","English"
"http://dbpedia.org/resource/Beyond_Chutzpah","Beyond Chutzpah: On the Misuse of Anti-Semitism and the Abuse of History","http://dbpedia.org/resource/Norman_Finkelstein","Non-fiction","English"
"http://dbpedia.org/resource/Big_Deal:_A_Year_as_a_Professional_Poker_Player","Big Deal:A Year as a Professional Poker Player","http://dbpedia.org/resource/Anthony_Holden","http://dbpedia.org/resource/Non-fiction","English"
"http://dbpedia.org/resource/Black_Wind_(Cussler_novel)","Black Wind","http://dbpedia.org/resource/Clive_Cussler","http://dbpedia.org/resource/Adventure","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Black_Wind_(Cussler_novel)","Black Wind","http://dbpedia.org/resource/Clive_Cussler","http://dbpedia.org/resource/Techno-thriller","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Blasphemy_(novel)","Blasphemy","http://dbpedia.org/resource/Douglas_Preston","http://dbpedia.org/resource/Science_fiction","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Blasphemy_(novel)","Blasphemy","http://dbpedia.org/resource/Douglas_Preston","http://dbpedia.org/resource/Thriller_(genre)","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Blonde_(novel)","Blonde","http://dbpedia.org/resource/Joyce_Carol_Oates","http://dbpedia.org/resource/Historical_novel","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Blood_Sisters","Blood Sisters","http://dbpedia.org/resource/Stephanie_Keating","http://dbpedia.org/resource/Novel","English"
"http://dbpedia.org/resource/Blood_Sisters","Blood Sisters","http://dbpedia.org/resource/Barbara_Keating","http://dbpedia.org/resource/Novel","English"
"http://dbpedia.org/resource/Breakheart_Pass_(novel)","Breakheart Pass","http://dbpedia.org/resource/Alistair_MacLean","http://dbpedia.org/resource/Western_(genre)","English"
"http://dbpedia.org/resource/Breakheart_Pass_(novel)","Breakheart Pass","http://dbpedia.org/resource/Alistair_MacLean","http://dbpedia.org/resource/Thriller_(genre)","English"
"http://dbpedia.org/resource/Brigham_Young:_American_Moses","Brigham Young: American Moses","http://dbpedia.org/resource/Leonard_J._Arrington","http://dbpedia.org/resource/Biography","English"
"http://dbpedia.org/resource/Bruja_(novel)","Bruja","http://dbpedia.org/resource/Mel_Odom_(author)","http://dbpedia.org/resource/Horror_fiction","http://dbpedia.org/resource/English_language"
"http://dbpedia.org/resource/Business_is_business","Business is business","http://dbpedia.org/resource/Octave_Mirbeau","http://dbpedia.org/resource/Comedy","http://dbpedia.org/resource/French_language"
"http://dbpedia.org/resource/Business_is_business","Les affaires sont les affaires","http://dbpedia.org/resource/Octave_Mirbeau","http://dbpedia.org/resource/Comedy","http://dbpedia.org/resource/French_language"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, ou l'Optimisme","http://dbpedia.org/resource/Thorel_de_Campigneulles","http://dbpedia.org/resource/Picaresque_novel","French"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, or Optimism","http://dbpedia.org/resource/Thorel_de_Campigneulles","http://dbpedia.org/resource/Picaresque_novel","French"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, ou l'Optimisme","http://dbpedia.org/resource/Thorel_de_Campigneulles","http://dbpedia.org/resource/Satire","French"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, or Optimism","http://dbpedia.org/resource/Thorel_de_Campigneulles","http://dbpedia.org/resource/Satire","French"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, ou l'Optimisme","http://dbpedia.org/resource/Henri_Joseph_Du_Laurens","http://dbpedia.org/resource/Picaresque_novel","French"
"http://dbpedia.org/resource/Candide,_Part_II","Candide, or Optimism","http://dbpedia.org/resource/Henri_Joseph_Du_Laurens","http://dbpedia.org/resource/Picaresque_novel","French"
